project,num_forks,num_files,project_age,num_stars,ratio_old_volunteers,fork_entropy,num_integrated_commits,num_forks_rq2,num_files_rq2,ratio_old_volunteers_rq2,ratio_prs_with_tests,ratio_prs_with_hot_files,fork_entropy_rq2,num_closed_prs,ratio_merged_prs,num_bug_report_issues
angular/angular.js,4,198,632,9399,0,0.623892319,1,5,196,0,0.714285714,1,0.596271678,7,0,0
angular/angular.js,5,51,663,9811,0.071428571,0.609414457,1,6,17,0.083333333,0.833333333,1,0.801923927,12,0,1
angular/angular.js,4,6,724,10654,0,0.590997968,3,3,4,0,0.333333333,1,0.643169926,3,0,3
angular/angular.js,4,6,755,11162,0,0.709809711,2,3,39,0,0.333333333,1,0.540251013,3,0,2
angular/angular.js,9,123,784,11668,0,0.619220412,6,3,81,0,0.4,0.8,0.484276709,5,0,8
angular/angular.js,7,11,815,12221,0,0.753901387,4,3,5,0,0.2,0,0.636592159,5,0,14
angular/angular.js,7,13,845,13030,0,0.840544551,2,7,233,0,0.9,1,0.703341977,10,0,9
angular/angular.js,15,149,876,13957,0,0.574501531,0,7,139,0,0.428571429,1,0.574006684,7,0,20
angular/angular.js,17,149,906,15394,0,0.442650708,3,13,40,0,0.375,1,0.592845747,16,0,11
angular/angular.js,30,74,937,16572,0,0.574379276,13,21,149,0,0.333333333,1,0.338902697,21,0.047619048,19
angular/angular.js,26,33,968,17573,0,0.743807595,23,16,165,0,0.470588235,0.823529412,0.445242894,17,0.058823529,6
angular/angular.js,28,63,998,18268,0,0.693959553,22,16,146,0,0.285714286,0.952380952,0.360491486,21,0,13
angular/angular.js,30,165,1029,18891,0,0.547389344,22,23,150,0,0.6,0.833333333,0.530477818,30,0,17
angular/angular.js,39,113,1059,19382,0,0.498245098,17,23,52,0,0.461538462,0.884615385,0.683729784,26,0,14
angular/angular.js,53,112,1090,20354,0,0.491423109,17,33,110,0,0.441860465,0.930232558,0.497409209,43,0,23
angular/angular.js,38,292,1121,20841,0,0.625572115,9,25,448,0,0.586206897,1,0.477307917,29,0,16
angular/angular.js,56,269,1149,21257,0,0.397967373,27,33,279,0,0.5,0.9,0.41604949,40,0.05,19
angular/angular.js,90,1082,1180,21681,0,0.25203208,43,61,1172,0,0.44,0.96,0.176357417,74,0,30
angular/angular.js,84,720,1210,21991,0,0.308920056,35,55,517,0,0.303030303,0.954545455,0.22831139,65,0.030769231,24
angular/angular.js,70,220,1241,22265,0,0.428998399,15,51,360,0,0.292307692,0.876923077,0.255030923,65,0.015384615,18
angular/angular.js,80,393,1271,22552,0,0.344732387,22,49,131,0.033898305,0.423728814,0.966101695,0.45570856,59,0,27
angular/angular.js,105,531,1302,22849,0,0.24670187,32,76,473,0,0.447916667,0.9375,0.220625718,95,0.021052632,48
angular/angular.js,93,323,1333,23103,0.022522523,0.278223557,18,76,95,0.027522936,0.293577982,0.908256881,0.390805398,109,0,64
angular/angular.js,125,577,1363,23357,0.009009009,0.228478692,11,108,476,0.007352941,0.220588235,0.904411765,0.135988339,135,0.007407407,74
angular/angular.js,127,851,1394,23590,0.004484305,0.211312563,16,91,288,0.009708738,0.300970874,0.961165049,0.19318004,103,0,92
angular/angular.js,98,213,1424,23795,0.06779661,0.344660194,24,73,75,0.045977011,0.218390805,0.965517241,0.36442505,83,0,71
angular/angular.js,125,303,1455,23952,0,0.274585793,44,93,135,0,0.302521008,0.966386555,0.305361717,116,0.017241379,70
angular/angular.js,104,569,1486,24119,0,0.233170311,25,82,106,0,0.336842105,0.947368421,0.42013136,87,0,67
angular/angular.js,122,1276,1514,24289,0,0.230713741,39,94,536,0,0.230769231,0.948717949,0.212152851,113,0,90
angular/angular.js,102,307,1545,24408,0,0.271580981,38,81,202,0,0.326530612,0.969387755,0.257259899,92,0,63
angular/angular.js,90,96,1575,24885,0,0.346916906,15,82,201,0,0.226804124,0.979381443,0.276420031,94,0,42
angular/angular.js,97,313,1606,25484,0,0.247313339,28,82,141,0,0.329787234,0.978723404,0.351688247,89,0,59
angular/angular.js,78,357,1636,26618,0,0.289889016,16,55,97,0,0.389830508,0.949152542,0.44055352,57,0,70
angular/angular.js,84,189,1667,27787,0,0.348765207,27,68,513,0,0.228915663,0.927710843,0.192356189,78,0,67
angular/angular.js,71,376,1698,29080,0,0.189795894,11,65,442,0,0.191780822,0.98630137,0.179554554,72,0.013888889,70
angular/angular.js,97,726,1728,30100,0,0.292408933,62,81,589,0,0.385416667,1,0.232656028,92,0,81
angular/angular.js,81,600,1759,31546,0,0.22910153,26,69,95,0,0.272727273,0.954545455,0.424247646,85,0,81
angular/angular.js,83,157,1789,32791,0,0.331308243,27,62,73,0,0.302631579,0.947368421,0.438966157,74,0,51
angular/angular.js,69,427,1820,34223,0,0.249268895,14,45,139,0,0.294117647,0.901960784,0.373619976,51,0,39
angular/angular.js,62,694,1851,35546,0,0.22671027,5,43,106,0,0.276595745,0.936170213,0.333286083,46,0,52
angular/angular.js,53,344,1879,36630,0,0.180004554,8,34,40,0,0.256410256,0.897435897,0.466840522,33,0,49
angular/angular.js,57,152,1910,37919,0,0.194941155,7,44,53,0,0.260869565,0.891304348,0.357295751,46,0,61
angular/angular.js,52,58,1940,39211,0,0.408050046,6,38,421,0,0.184210526,0.947368421,0.127128144,36,0,39
angular/angular.js,63,438,1971,40420,0,0.249767328,18,36,48,0,0.289473684,0.894736842,0.490500209,38,0,47
angular/angular.js,46,655,2001,41372,0,0.183934107,13,26,97,0,0.314285714,0.857142857,0.351746855,35,0,33
angular/angular.js,62,340,2032,41388,0,0.187589177,10,39,50,0,0.219512195,0.926829268,0.447285096,37,0,34
angular/angular.js,54,314,2063,41413,0,0.209435458,11,39,41,0,0.19047619,0.833333333,0.486332588,40,0,36
angular/angular.js,47,335,2093,41433,0,0.308763408,9,39,57,0,0.214285714,0.904761905,0.412586493,40,0,29
angular/angular.js,37,57,2124,41453,0,0.554057306,14,25,378,0,0.185185185,0.851851852,0.273395438,25,0,33
